vehicle_id,timestamp,speed,rpm,engine_temp,fuel_level,idle_time,harsh_brake,distance,driver_id,route_type,failure,failure_prob,predicted_fuel,driver_score
151,2025-01-01 00:00:00,112,3429,73,77,43,0,269,7,highway,0,0.01,54.53659191691822,68.5
192,2025-01-01 01:00:00,84,3160,103,66,28,0,75,11,city,1,0.99,54.553319844990966,86.0
114,2025-01-01 02:00:00,60,866,111,19,0,0,257,17,city,0,0.0,54.77812389241778,100.0
171,2025-01-01 03:00:00,8,868,91,75,29,0,200,5,highway,0,0.0,54.75585543510856,85.5
160,2025-01-01 04:00:00,5,928,74,17,55,0,98,1,city,0,0.0,54.74748544011427,72.5
120,2025-01-01 05:00:00,114,2702,119,47,44,0,104,3,highway,0,0.0,54.61128842182501,68.0
182,2025-01-01 06:00:00,108,1066,111,71,0,0,164,16,city,0,0.0,54.77705701614975,90.0
186,2025-01-01 07:00:00,34,1227,92,37,2,0,113,15,highway,0,0.0,54.7308897500005,99.0
174,2025-01-01 08:00:00,38,1490,84,19,21,0,103,4,highway,0,0.0,54.70497202920875,89.5
174,2025-01-01 09:00:00,21,1223,100,54,7,0,37,12,highway,0,0.0,54.725872316519606,96.5
187,2025-01-01 10:00:00,40,1795,78,74,55,0,106,1,highway,0,0.0,54.67336636506829,72.5
199,2025-01-01 11:00:00,117,2368,112,76,17,0,187,17,city,0,0.02,54.6475645515684,81.5
123,2025-01-01 12:00:00,4,2853,94,18,24,1,21,15,highway,0,0.0,54.55258355417503,68.0
102,2025-01-01 13:00:00,41,3479,94,14,47,0,148,10,city,0,0.01,54.50283584962606,76.5
121,2025-01-01 14:00:00,86,2608,118,19,51,0,129,11,highway,0,0.0,54.6093192662191,74.5
152,2025-01-01 15:00:00,80,3712,90,21,19,0,187,18,highway,0,0.0,54.49594469950527,90.5
101,2025-01-01 16:00:00,75,2005,78,91,30,0,284,2,highway,0,0.01,54.66708548775989,85.0
187,2025-01-01 17:00:00,86,832,117,67,29,0,199,6,highway,0,0.01,54.79083470752007,85.5
129,2025-01-01 18:00:00,79,3281,107,30,15,0,235,16,city,1,0.96,54.53953861209731,92.5
137,2025-01-01 19:00:00,66,3722,91,30,1,0,108,7,city,0,0.0,54.49004283633613,99.5
101,2025-01-01 20:00:00,29,3016,112,74,16,0,9,19,highway,1,0.92,54.54637191646748,92.0
163,2025-01-01 21:00:00,56,3420,92,12,9,1,226,12,city,0,0.0,54.516413204542154,75.5
159,2025-01-01 22:00:00,85,2342,118,78,6,0,209,18,city,0,0.0,54.63781020100298,97.0
120,2025-01-01 23:00:00,72,3538,73,98,58,1,245,10,highway,0,0.05,54.508832654372554,51.0
132,2025-01-02 00:00:00,28,2588,98,73,41,0,288,7,city,0,0.0,54.588474438883324,79.5
175,2025-01-02 01:00:00,110,2470,84,58,50,0,66,4,highway,0,0.0,54.63303083799072,65.0
157,2025-01-02 02:00:00,36,717,70,81,51,0,153,17,highway,0,0.0,54.78155428279332,74.5
121,2025-01-02 03:00:00,86,2477,99,26,58,0,191,17,city,0,0.0,54.62235534531649,71.0
188,2025-01-02 04:00:00,12,816,98,82,8,1,218,4,city,0,0.0,54.76360882764787,76.0
148,2025-01-02 05:00:00,31,1497,89,41,53,0,154,5,highway,0,0.0,54.70014052407511,73.5
190,2025-01-02 06:00:00,45,3915,102,79,16,1,277,1,highway,1,0.96,54.461369728691494,72.0
158,2025-01-02 07:00:00,115,3298,110,30,8,0,82,19,highway,1,0.98,54.55255062465104,86.0
141,2025-01-02 08:00:00,110,3676,113,16,8,0,221,11,city,1,0.99,54.512101240232504,86.0
191,2025-01-02 09:00:00,111,2411,105,16,36,0,280,1,highway,0,0.05,54.64000522436267,72.0
159,2025-01-02 10:00:00,22,1452,91,36,23,0,111,8,highway,0,0.0,54.702330500930756,88.5
179,2025-01-02 11:00:00,44,3169,82,17,38,0,92,4,highway,0,0.0,54.535934907546,81.0
114,2025-01-02 12:00:00,16,2092,76,82,10,0,12,15,highway,0,0.0,54.63536653683126,95.0
161,2025-01-02 13:00:00,118,3393,77,37,7,0,139,17,highway,0,0.0,54.544134773891756,86.5
161,2025-01-02 14:00:00,103,3305,97,88,24,0,155,18,city,0,0.0,54.546366054335614,78.0
146,2025-01-02 15:00:00,84,2797,114,75,45,0,23,3,city,0,0.01,54.58954077200864,77.5
161,2025-01-02 16:00:00,65,1377,112,80,1,0,220,18,city,0,0.01,54.72812292601119,99.5
150,2025-01-02 17:00:00,100,805,78,56,9,0,237,7,city,0,0.0,54.80001989260175,95.5
154,2025-01-02 18:00:00,5,3987,94,91,52,0,253,17,city,0,0.03,54.436514246652514,74.0
163,2025-01-02 19:00:00,107,1357,85,95,23,1,183,18,highway,0,0.0,54.74612055315595,58.5
102,2025-01-02 20:00:00,17,2646,79,19,47,0,198,8,city,0,0.0,54.57791385748972,76.5
150,2025-01-02 21:00:00,93,2148,80,42,15,0,170,11,highway,0,0.0,54.6603835527282,92.5
106,2025-01-02 22:00:00,21,1795,100,16,18,0,123,3,city,0,0.0,54.66725113616185,91.0
120,2025-01-02 23:00:00,117,1687,81,12,58,0,34,7,city,0,0.0,54.71514365213304,61.0
172,2025-01-03 00:00:00,32,3589,100,23,30,0,3,15,highway,0,0.01,54.488730862013334,85.0
138,2025-01-03 01:00:00,29,2508,83,53,10,1,6,10,city,0,0.0,54.598279896568,75.0
117,2025-01-03 02:00:00,80,2482,113,55,5,0,102,12,city,0,0.0,54.62160582649007,97.5
103,2025-01-03 03:00:00,106,1145,101,70,5,0,192,12,highway,0,0.0,54.76801531778291,87.5
188,2025-01-03 04:00:00,31,2648,119,45,31,0,13,19,city,0,0.0,54.583986176019096,84.5
159,2025-01-03 05:00:00,41,3957,86,22,38,0,36,19,city,0,0.01,54.4545924085016,81.0
113,2025-01-03 06:00:00,114,2817,104,25,47,0,70,15,city,0,0.0,54.59947044158705,66.5
108,2025-01-03 07:00:00,77,2697,70,89,12,0,289,5,highway,0,0.0,54.598249883787936,94.0
189,2025-01-03 08:00:00,9,2897,98,14,58,0,105,13,city,0,0.0,54.548725589286995,71.0
152,2025-01-03 09:00:00,110,1473,73,98,2,0,204,9,city,0,0.0,54.736387181713305,89.0
101,2025-01-03 10:00:00,114,2261,92,47,55,0,55,10,highway,0,0.0,54.655687226646144,62.5
183,2025-01-03 11:00:00,35,2375,97,59,55,0,107,8,city,0,0.0,54.61237400236136,72.5
191,2025-01-03 12:00:00,33,1822,85,47,40,0,141,9,highway,0,0.0,54.668423520055306,80.0
159,2025-01-03 13:00:00,72,2001,81,65,55,0,225,6,highway,0,0.0,54.66526506592777,72.5
170,2025-01-03 14:00:00,105,2286,90,72,34,1,36,18,highway,0,0.01,54.65039018867558,53.0
143,2025-01-03 15:00:00,27,2386,114,57,37,0,133,10,highway,0,0.0,54.60877952955437,81.5
107,2025-01-03 16:00:00,10,1643,86,99,56,0,25,15,city,0,0.0,54.67673809959465,72.0
146,2025-01-03 17:00:00,77,1154,109,68,16,0,37,13,city,0,0.0,54.7550061354007,92.0
134,2025-01-03 18:00:00,38,1827,82,86,2,0,19,11,highway,0,0.0,54.671477061458894,99.0
177,2025-01-03 19:00:00,118,1645,101,53,33,0,35,2,city,0,0.0,54.720839148507,73.5
180,2025-01-03 20:00:00,46,1300,106,99,11,0,6,8,city,0,0.01,54.727915817986265,94.5
135,2025-01-03 21:00:00,117,3400,119,64,23,0,199,18,city,1,0.96,54.54236686541285,78.5
149,2025-01-03 22:00:00,18,1424,84,64,5,0,34,3,highway,0,0.0,54.70430830555384,97.5
103,2025-01-03 23:00:00,117,2980,81,10,41,0,56,3,city,0,0.0,54.584343666658924,69.5
101,2025-01-04 00:00:00,14,2117,118,17,10,0,256,7,highway,0,0.0,54.63202105959847,95.0
105,2025-01-04 01:00:00,27,2224,84,13,47,0,211,18,highway,0,0.0,54.624845523612336,76.5
153,2025-01-04 02:00:00,23,950,103,94,26,0,97,9,city,0,0.0,54.75366164730588,87.0
103,2025-01-04 03:00:00,71,2244,75,95,47,0,282,18,city,0,0.0,54.64047821271203,76.5
153,2025-01-04 04:00:00,106,778,86,62,23,0,241,1,highway,0,0.0,54.80460212967609,78.5
192,2025-01-04 05:00:00,8,3823,117,67,17,1,170,4,highway,1,0.98,54.455828985491856,71.5
162,2025-01-04 06:00:00,46,1597,118,46,26,0,294,4,highway,0,0.01,54.697097936421095,87.0
117,2025-01-04 07:00:00,32,3668,89,58,53,0,227,17,city,0,0.03,54.47975587114352,73.5
189,2025-01-04 08:00:00,61,1480,78,76,54,0,127,2,highway,0,0.0,54.71387392318309,73.0
143,2025-01-04 09:00:00,96,925,74,28,55,0,280,15,city,0,0.0,54.7843283726806,72.5
133,2025-01-04 10:00:00,18,1774,92,10,40,0,21,13,city,0,0.0,54.66728229916045,80.0
173,2025-01-04 11:00:00,66,1909,102,38,20,0,246,9,city,0,0.0,54.67364392266846,90.0
161,2025-01-04 12:00:00,73,1757,107,96,58,0,90,7,city,0,0.0,54.69035815092465,71.0
199,2025-01-04 13:00:00,39,1502,83,42,50,0,6,12,highway,0,0.0,54.702966872534105,75.0
113,2025-01-04 14:00:00,46,1441,86,61,33,0,266,12,highway,0,0.0,54.71267646332645,83.5
194,2025-01-04 15:00:00,105,2878,88,50,55,0,97,14,highway,0,0.0,54.589325982333776,62.5
147,2025-01-04 16:00:00,64,3770,102,32,32,0,150,15,highway,1,0.97,54.48309019713325,84.0
114,2025-01-04 17:00:00,28,3379,70,14,57,0,80,1,highway,0,0.01,54.50737688185893,71.5
171,2025-01-04 18:00:00,49,3585,82,80,47,1,17,9,highway,0,0.0,54.49526798861956,56.5
177,2025-01-04 19:00:00,97,3506,115,66,53,0,138,16,highway,1,0.98,54.522329389245854,73.5
186,2025-01-04 20:00:00,114,1403,96,15,17,0,140,9,city,0,0.0,54.74449849281876,81.5
